,HC,ME,IGT,IBD,FL,BPA,AS,SC,T2D,CI,ACVD,CL
HC,1.0,0.07989016773264211,-0.04890840034663268,-0.13895709707174705,-0.040458520755509216,-0.1659860380746346,-0.1303071231793231,-0.11922606682904131,-0.03679072299852365,-0.20374200282281119,-0.25116626061862934,-0.19024973379675125
ME,0.07989016773264211,1.0,-0.026096362302977537,0.023571027753919765,0.015240051301853413,-0.04368113956763837,-0.0354261588744318,-0.02249837461894719,-0.05408829760030515,-0.04259572249406868,-0.04036245488346511,-0.038128433994883325
IGT,-0.04890840034663268,-0.026096362302977537,1.0,-0.01904074177840943,0.032876462028535114,-0.05438395712526627,-0.05126346345983892,-0.041562215984350594,-0.05505724350836572,-0.06669620405949052,-0.07839609575013706,-0.10291038664588982
IBD,-0.13895709707174705,0.023571027753919765,-0.01904074177840943,1.0,0.10002230182844606,-0.07222925222193495,-0.0696746313773677,-0.09836646761137592,-0.08849271475180889,-0.10776324654690637,-0.13893001122128013,-0.13882399247569005
FL,-0.040458520755509216,0.015240051301853413,0.032876462028535114,0.10002230182844606,1.0,-0.038454055945117444,-0.0020908793745356546,-0.009127170743356621,-0.04520199628067187,-0.032537082938957566,-0.003787769240390803,0.010874786060476345
BPA,-0.1659860380746346,-0.04368113956763837,-0.05438395712526627,-0.07222925222193495,-0.038454055945117444,1.0,0.1290252225244563,0.044541785491554464,-0.03059661694653975,-0.013542292201977958,-0.0039627307406911545,-0.07198305106177397
AS,-0.1303071231793231,-0.0354261588744318,-0.05126346345983892,-0.0696746313773677,-0.0020908793745356546,0.1290252225244563,1.0,0.13817598873503398,0.01403059619238634,0.05439066359811198,0.035241189808168365,-0.0029290097234734966
SC,-0.11922606682904131,-0.02249837461894719,-0.041562215984350594,-0.09836646761137592,-0.009127170743356621,0.044541785491554464,0.13817598873503398,1.0,-0.017803506521307924,0.06978317684177306,0.012288725557164804,-0.04368809001543434
T2D,-0.03679072299852365,-0.05408829760030515,-0.05505724350836572,-0.08849271475180889,-0.04520199628067187,-0.03059661694653975,0.01403059619238634,-0.017803506521307924,1.0,-0.0047342287275602005,0.11759331001418974,0.027331719045881206
CI,-0.20374200282281119,-0.04259572249406868,-0.06669620405949052,-0.10776324654690637,-0.032537082938957566,-0.013542292201977958,0.05439066359811198,0.06978317684177306,-0.0047342287275602005,1.0,0.13911428460485448,0.033051025368812846
ACVD,-0.25116626061862934,-0.04036245488346511,-0.07839609575013706,-0.13893001122128013,-0.003787769240390803,-0.0039627307406911545,0.035241189808168365,0.012288725557164804,0.11759331001418974,0.13911428460485448,1.0,0.15545060985405232
CL,-0.19024973379675125,-0.038128433994883325,-0.10291038664588982,-0.13882399247569005,0.010874786060476345,-0.07198305106177397,-0.0029290097234734966,-0.04368809001543434,0.027331719045881206,0.033051025368812846,0.15545060985405232,1.0
